Budynek,Szerokość geograficzna,Długość geograficzna
Muzeum Powstania Warszawskiego,52.23303211559015,20.980969924733532
Muzeum Narodowe,52.231483439856554,21.023780381770308
Muzeum Polin,52.24966655156679,20.993942337667875
Zamek Królewski,52.24778955307328,21.01459956650304
"Muzeum Więzienia ""Pawiak""",52.2464116747914,20.99157496835064
Muzeum Życia w PRL-u,52.22355001817962,21.017054554855772
Muzeum Wojska Polskiego,52.26455919804117,20.999636679997796
Państwowe Muzeum Etnograficzne,52.238258013580115,21.01285280088082
Muzeum Polskiej Wódki,52.25544288305333,21.04690501991855
Muzeum Geologiczne,52.21041162836645,21.013356864093314
Muzeum Neonów,52.250351922343775,21.062701420478668
Łazienki Królewskie,52.214791596884034,21.033559285538328
Barbakan,52.25074143386187,21.011598130205815
Pałac Prezydencki,52.24322321294633,21.01764577943639
Pałac Kultury i Nauki,52.231929966952464,21.006917677588277
Centrum Nauki Kopernik,52.24197999403715,21.029317183691973
Archikatedra w Warszawie,52.24886465465344,21.013860968350766
Pole Mokotowskie,52.21303598210315,21.004517626808223
Niewidzialna Wystawa,52.22508071364879,20.992384871484532
Elektrownia Powiśle,52.24074508821266,21.02846906409476
Złote Tarasy,52.230244341762436,21.002971418630075
Teatr Narodowy,52.2436893892293,21.010978681844442
Stacja Muzeum,52.22648609385601,20.9878837180695
